,metric,value,model
669,balanced_accuracy,0.22969028520499107,bert
670,f1_weighted,0.24011641088724173,bert
671,f1_weighted,0.27753194180898166,bert
672,f1_weighted,0.2796431977532014,bert
673,f1_weighted,0.2852400792245401,bert
674,f1_weighted,0.2251119209829287,bert
675,accuracy,0.2411764705882353,bert
676,accuracy,0.28823529411764703,bert
677,accuracy,0.2823529411764706,bert
678,accuracy,0.28994082840236685,bert
679,accuracy,0.2289156626506024,bert
680,balanced_accuracy,0.24088107970460912,bert
681,balanced_accuracy,0.28880061115355227,bert
682,balanced_accuracy,0.2826228673287497,bert
683,balanced_accuracy,0.2896613190730838,bert
684,balanced_accuracy,0.22969028520499107,bert
685,f1_weighted,0.24011641088724173,bert
686,f1_weighted,0.27753194180898166,bert
687,f1_weighted,0.2796431977532014,bert
688,f1_weighted,0.2852400792245401,bert
689,f1_weighted,0.2251119209829287,bert
690,accuracy,0.3,bert
691,accuracy,0.2235294117647059,bert
692,accuracy,0.22941176470588234,bert
693,accuracy,0.23668639053254437,bert
694,accuracy,0.2710843373493976,bert
695,balanced_accuracy,0.3,bert
696,balanced_accuracy,0.2235294117647059,bert
697,balanced_accuracy,0.22941176470588237,bert
698,balanced_accuracy,0.2370766488413547,bert
699,balanced_accuracy,0.2709447415329769,bert
700,f1_weighted,0.2980911522712546,bert
701,f1_weighted,0.22269267362057676,bert
702,f1_weighted,0.2285410540235193,bert
703,f1_weighted,0.23415992866298035,bert
704,f1_weighted,0.2737488415083324,bert
705,accuracy,0.24705882352941178,bert
706,accuracy,0.2647058823529412,bert
707,accuracy,0.27647058823529413,bert
708,accuracy,0.3176470588235294,bert
709,accuracy,0.24242424242424243,bert
710,balanced_accuracy,0.24676343264578557,bert
711,balanced_accuracy,0.26527119938884647,bert
