,accuracy,balanced_accuracy,f1_weighted,relation,y_type,model
46,0.2824338624338624,0.2824338624338624,0.27985223566825573,Member-Collection,probabilistic_causality_diff,bert
47,0.2824338624338624,0.2824338624338624,0.27985223566825573,Member-Collection,delta_P,bert
48,0.3206349206349206,0.3206349206349206,0.3173415248062992,Member-Collection,P(E|no C),bert
49,0.2824338624338624,0.2824338624338624,0.27985223566825573,Member-Collection,q,bert
50,0.2985185185185185,0.2985185185185185,0.2966605471925779,Member-Collection,p,bert
51,0.2985185185185185,0.2985185185185185,0.29666054719257784,Member-Collection,causal_power,bert
52,0.3216931216931217,0.3216931216931217,0.31783981400484507,Member-Collection,PMI,bert
53,0.3216931216931217,0.3216931216931217,0.31783981400484507,Member-Collection,PPMI,bert
54,0.3216931216931217,0.3216931216931217,0.31783981400484507,Member-Collection,CPMI_-2,bert
55,0.33195767195767195,0.33195767195767195,0.3269996059030712,Member-Collection,NPMI,bert
56,0.3216931216931217,0.3216931216931217,0.31783981400484507,Member-Collection,NNEGPMI,bert
57,0.2622475950417976,0.26320435630780464,0.2615176802087166,Member-Collection,P(C|E),bert
58,0.2866137566137566,0.2866137566137566,0.28438256665767836,Member-Collection,causal_stength_nec,bert
59,0.33211640211640214,0.33211640211640214,0.32818057386249117,Member-Collection,causal_stength_suf,bert
60,0.324590464242566,0.32492063492063494,0.31854376785406646,Member-Collection,causal_stength_0.5,bert
61,0.30724867724867727,0.30724867724867727,0.3022371455865115,Member-Collection,causal_stength_0.7,bert
62,0.28390348785397457,0.2838095238095238,0.27819756333457735,Member-Collection,causal_stength_0.9,bert
63,0.2866137566137566,0.2866137566137566,0.28438256665767836,Member-Collection,causal_stength_1.0,bert
64,0.3260846560846561,0.3260846560846561,0.32547141633275356,Member-Collection,avg_freq_uni,bert
65,0.367989417989418,0.367989417989418,0.3660602001470742,Member-Collection,avg_freq_bi,bert
66,0.2591284979168814,0.2589993746091307,0.2583206415896032,Cause-Effect,P(E|C),bert
67,0.36197567043136475,0.362068167604753,0.3597464272319097,Cause-Effect,P(E),bert
68,0.2311871921182266,0.23109756097560977,0.23146993244644132,Cause-Effect,probabilistic_causality_diff,bert
69,0.2311871921182266,0.23109756097560977,0.23146993244644132,Cause-Effect,delta_P,bert
70,0.34196551724137936,0.34187804878048783,0.3388132639695677,Cause-Effect,P(E|no C),bert
71,0.23914285714285716,0.2390487804878049,0.23885061498594706,Cause-Effect,q,bert
72,0.24521027866333434,0.24507129455909937,0.24336363018327806,Cause-Effect,p,bert
73,0.24824630541871925,0.24834146341463414,0.2465138767778726,Cause-Effect,causal_power,bert
74,0.26510988722993933,0.2652076297686054,0.26331898147271443,Cause-Effect,PMI,bert
75,0.26510988722993933,0.2652076297686054,0.26331898147271443,Cause-Effect,PPMI,bert
76,0.26510988722993933,0.2652076297686054,0.26331898147271443,Cause-Effect,CPMI_-2,bert
77,0.27509852216748776,0.2750975609756098,0.27154718407167316,Cause-Effect,NPMI,bert
78,0.26510988722993933,0.2652076297686054,0.26331898147271443,Cause-Effect,NNEGPMI,bert
79,0.2771576354679803,0.277,0.2765192845918099,Cause-Effect,P(C|E),bert
80,0.27422190480870395,0.2741494684177611,0.2733870544403371,Cause-Effect,causal_stength_nec,bert
81,0.30001708626459506,0.2999931207004378,0.2987812234262693,Cause-Effect,causal_stength_suf,bert
82,0.2571576354679803,0.2571707317073171,0.25459458696806003,Cause-Effect,causal_stength_0.5,bert
83,0.28239120414504504,0.28224202626641653,0.27995182151405007,Cause-Effect,causal_stength_0.7,bert
84,0.2562463054187192,0.2561463414634147,0.25451713306601437,Cause-Effect,causal_stength_0.9,bert
85,0.27422190480870395,0.2741494684177611,0.2733870544403371,Cause-Effect,causal_stength_1.0,bert
86,0.4008768472906404,0.4007073170731707,0.3992834874127418,Cause-Effect,avg_freq_uni,bert
87,0.39470783850877056,0.39365228267667296,0.39280327720094604,Cause-Effect,avg_freq_bi,bert
88,0.25913704242658064,0.2591087344028521,0.25652792900039667,Entity-Destination,P(E|C),bert
89,0.3161802213076183,0.31652966641201935,0.31525316940650583,Entity-Destination,P(E),bert
90,0.254331550802139,0.254331550802139,0.25249098676147863,Entity-Destination,probabilistic_causality_diff,bert
91,0.254331550802139,0.254331550802139,0.25249098676147863,Entity-Destination,delta_P,bert
92,0.3219964349376114,0.3219964349376114,0.32022486766744346,Entity-Destination,P(E|no C),bert
93,0.254331550802139,0.254331550802139,0.25249098676147863,Entity-Destination,q,bert
94,0.2532976827094474,0.2532976827094474,0.25202196761108264,Entity-Destination,p,bert
95,0.2532976827094474,0.2532976827094474,0.2520219676110826,Entity-Destination,causal_power,bert
96,0.288698752228164,0.288698752228164,0.28512130036776645,Entity-Destination,PMI,bert
97,0.288698752228164,0.288698752228164,0.28512130036776645,Entity-Destination,PPMI,bert
98,0.288698752228164,0.288698752228164,0.28512130036776645,Entity-Destination,CPMI_-2,bert
99,0.27672014260249556,0.27672014260249556,0.27418538436314044,Entity-Destination,NPMI,bert
100,0.288698752228164,0.288698752228164,0.28512130036776645,Entity-Destination,NNEGPMI,bert
101,0.2638146167557932,0.2641660937102114,0.26161807938343784,Entity-Destination,P(C|E),bert
102,0.2968627450980392,0.2968627450980392,0.2933341069019062,Entity-Destination,causal_stength_nec,bert
103,0.2817112299465241,0.2817112299465241,0.27996777876610957,Entity-Destination,causal_stength_suf,bert
104,0.27329768270944743,0.27329768270944743,0.26906802025725735,Entity-Destination,causal_stength_0.5,bert
